restaurant_name,city,state,url,notes
Atkins Park Restaurant & Bar - Virginia Highland,Atlanta,GA,https://www.atkinspark.com/,
Embilta Cafe & Restaurant,Atlanta,GA,https://www.facebook.com/pages/Embilta-Ethiopian-Cafe-Restaurant/439607806093457,
George's Bar & Restaurant,Atlanta,GA,http://georgesbarandrestaurant.com/,
Sotto Sotto Restaurant,Atlanta,GA,http://www.sottosottoatl.com/,
Larry's Late Night Eats,Atlanta,GA,https://www.larryslatenighteats.com/,
El Santo Gallo Taqueria,Atlanta,GA,https://elsantogallotaco.com/?utm_source=google,
India Eats Restaurant,Atlanta,GA,https://indiaeatsatl.com/,
Bambinelli's Italian Restaurant,Atlanta,GA,https://www.bambinellis.com/,
MCK Restaurant and Bar,Atlanta,GA,http://mckatl.com/,
Bones Restaurant,Atlanta,GA,http://www.bonesrestaurant.com/,
Aria,Atlanta,GA,http://www.aria-atl.com/,
THE CHASTAIN - Restaurant,Atlanta,GA,http://www.thechastainatl.com/,
Mali Restaurant,Atlanta,GA,http://www.malirestaurant.com/,
Nino's Italian Restaurant,Atlanta,GA,https://ninosatlanta.com/,
Bangkok Thai Restaurant,Atlanta,GA,https://www.bangkokthaiatl.com/,
LLoyd's Restaurant & Lounge,Atlanta,GA,https://www.lloydsatl.com/,
Delilah's Everyday Soul - Chattahoochee Food Works,Atlanta,GA,https://delilahseverydaysoul.com/delilahseverydaysoul-chattahoochee?utm_source=google,
Velvet Taco,Atlanta,GA,https://www.velvettaco.com/location/atlanta-interlock/,
Chillz Restaurant and Bar,Atlanta,GA,https://chillzrestaurantbar.com/,
Afrodish Restaurant,Atlanta,GA,http://www.afrodishrestaurant.com/,
Plant Based Zo,Atlanta,GA,https://plantbasedzo.com/?utm_source=google,
Georgia Restaurant Association,Atlanta,GA,http://www.garestaurants.org/,
Marquis Restaurant and Lounge,Atlanta,GA,https://marquisrestaurantandlounge.com/,
Forrest Eatery,Atlanta,GA,https://forresteatery.com/,
NaanStop,Atlanta,GA,https://naanstop.com/,
POKE CITY,Atlanta,GA,https://www.pokecity.net/,
The New Soul Veg Restaurant & Cafe',Atlanta,GA,https://thenewsoulveg.com/?utm_source=google,
Continental Seafood,Atlanta,GA,https://www.skiplinow.com/shop/-METe50UdKpJ-M8D71AO,
"Taquería""Mami's",Atlanta,GA,http://www.taqueriamamisatlantaga.com/,
Piu Bello Buckhead,Atlanta,GA,https://www.piubellobuckheadatlanta.com/,
El Azteca,Atlanta,GA,http://www.elaztecaatlanta.com/buckhead,
Tuza Taco,Atlanta,GA,https://www.tuzataco.com/,
Taqueria Del Sol,Atlanta,GA,http://www.taqueriadelsol.com/,
Starfish Restaurant,Atlanta,GA,https://www.order.store/store/starfish-restaurant/jy9JyUU6QfWDiMNUm81qtQ,
Lucky Star,Atlanta,GA,https://www.luckystaratl.com/,
Q Time Restaurant,Atlanta,GA,http://www.qtimesoulfood.com/,
Fox Bros Bar-B-Q,Atlanta,GA,https://www.foxbrosbbq.com/,
Livingston Restaurant + Bar,Atlanta,GA,http://www.livingstonatl.com/,
Brown Bag Seafood Co.,Atlanta,GA,https://www.brownbagseafood.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=westside-provisions-web,
Kale Me Crazy | Health Food Restaurant Midtown Atlanta,Atlanta,GA,https://kalemecrazy.net/midtown-atlanta/,
Your Pie Pizza,Atlanta,GA,https://www.yourpie.com/locations/ga/atlanta/275-memorial-drive-se-suite-b1/,
Torchy's Tacos,Atlanta,GA,https://torchystacos.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,
Taqueria La Luz,Atlanta,GA,https://www.taquerialaluz.com/,
Goodfellas Pizza & Wings,Atlanta,GA,https://tharealgoodfellas.com/?utm_source=google,
Lucky China 8 Chinese Restaurant,Atlanta,GA,https://luckychina8chinesega.com/,
Fellini's Pizza,Atlanta,GA,http://www.fellinisatlanta.com/,
Poke Burri,Atlanta,GA,http://pokeburri.com/,
IKEA Restaurant,Atlanta,GA,https://www.ikea.com/us/en/stores/atlanta/?utm_source=google&utm_medium=organic&utm_campaign=map_r&utm_content=atlanta,
SriThai: Thai Kitchen and Sushi Bar (Atlantic Station),Atlanta,GA,http://www.srithaikitchen.com/,
Taverna,Atlanta,GA,https://www.tavernabylombardi.com/,
Fia Restaurant,Atlanta,GA,https://www.fiaatlanta.com/,
Antica Posta Tuscan Restaurant & Bar,Atlanta,GA,http://www.anticaposta.com/,
Zakia Modern Lebanese Restaurant,Atlanta,GA,https://www.zakiarestaurant.com/,
Fork & Juniper Restaurant,Atlanta,GA,https://www.hyatt.com/en-US/hotel/georgia/hyatt-centric-midtown-atlanta/atlhm/dining,
Longleaf Restaurant,Atlanta,GA,https://atlantabg.org/plan-your-visit/dining-at-the-garden/,
Esco Restaurant & Tapas,Atlanta,GA,http://www.escobaratlanta.com/,
Kale Me Crazy | Health Food Restaurant Morningside,Atlanta,GA,https://kalemecrazy.net/morningside/,
Chick-fil-A,Atlanta,GA,https://www.chick-fil-a.com/locations/ga/delta-air-lines-headquarters?utm_source=yext&utm_medium=link,
